abk	Abkhazian
rar	Rarotongan
rej	Rejang
roh	Romansh
rom	Romany
run	Rundi
rus	Russian
smi	Sami languages
smo	Samoan
sag	Sango
san	Sanskrit
sat	Santali
sas	Sasak
sed	Sedang
seh	Sena
srp	Serbian
srr	Serer
shn	Shan
sna	Shona
sid	Sidamo
bla	Siksika
snd	Sindhi
sin	Sinhalese
sms	Skolt Sami
slk	Slovak
slv	Slovenian
xog	Soga
som	Somali
sop	Songe
snk	Soninke
sqt	Soqotri
srb	Sora
nso	Sotho, Northern
sot	Sotho, Southern
sma	Southern Sami
spa	Spanish
srn	Sranan
sux	Sumerian
sun	Sundanese
sus	Susu
swa	Swahili (generic)
ssw	Swati
swe	Swedish
syl	Sylheti
syr	Syriac
shi	Tachelhit
tgl	Tagalog
tah	Tahitian
tgk	Tajik
tmh	Tamashek
tzm	Tamazight, Central Atlas
tam	Tamil
rif	Tarifit
tat	Tatar
tsg	Tausug
tel	Telugu
sjt	Ter Sami
tll	Tetela
tet	Tetum
tha	Thai
tou	Tho
bod	Tibetan
tig	Tigre
tir	Tigrinya
tem	Timne
tiv	Tiv
tkl	Tokelau
ton	Tonga (Tonga Islands)
tso	Tsonga
tsc	Tswa
tsn	Tswana
tcy	Tulu
tum	Tumbuka
tur	Turkish
tuk	Turkmen
tvl	Tuvalu
uig	Uighur
ukr	Ukrainian
uli	Ulithian
umb	Umbundu
sju	Ume Sami
und	Undetermined
hsb	Upper Sorbian
urd	Urdu
uzb	Uzbek
vai	Vai
vie	Vietnamese
vol	Volapük
vro	Võro
wbm	Wa
wal	Walamo
wls	Wallisian
war	Waray (Philippines)
cym	Welsh
woe	Woleaian
wol	Wolof
xho	Xhosa
sah	Yakut
yao	Yao
yap	Yapese
yid	Yiddish
yor	Yoruba
zne	Zande (specific)
zap	Zapotec
zen	Zenaga
zha	Zhuang
zul	Zulu
